SH, 91, 2013011900, 03, NG06, 144, 152S, 1731W,   0,  995, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 91, 2013011900, 03, NG07, 000, 116S, 1763E,  29, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 91, 2013011900, 03, NG07, 006, 121S, 1769E,  40, 1001, XX,  34, NEQ, 0122, 0073, 0000, 0000
SH, 91, 2013011900, 03, NG07, 012, 123S, 1781E,  25, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 91, 2013011900, 03, NG07, 018, 124S, 1783E,  24, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 91, 2013011900, 03, NG07, 024, 126S, 1793E,  27, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 91, 2013011900, 03, NG07, 030, 130S, 1791W,  24, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 91, 2013011900, 03, NG07, 036, 131S, 1773W,  25, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 91, 2013011900, 03, NG07, 042, 130S, 1759W,  22, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 91, 2013011900, 03, NG07, 048, 132S, 1744W,  23, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 91, 2013011900, 03, NG07, 054, 135S, 1733W,  22, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 91, 2013011900, 03, NG07, 060, 138S, 1722W,  18, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 91, 2013011900, 03, NG07, 066, 136S, 1716W,  21, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 91, 2013011900, 03, NG07, 072, 137S, 1711W,  19, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 91, 2013011900, 03, NG07, 078, 137S, 1710W,  19, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 91, 2013011900, 03, NG07, 084, 138S, 1709W,  19, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 91, 2013011900, 03, NG07, 090, 135S, 1711W,   0, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 91, 2013011900, 03, NG07, 096, 138S, 1713W,   0, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 91, 2013011900, 03, NG07, 102, 138S, 1718W,   0, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 91, 2013011900, 03, NG07, 108, 140S, 1720W,   0, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 91, 2013011900, 03, NG07, 114, 143S, 1722W,   0, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
